block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,971,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,6.808466369070137,6.805565990914708,0.0029003781554290953
block_4,D50,972,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.411128526645768,6.992941565867317,0.41818696077845097
block_4,D50,973,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.323317447402067,6.571735639825695,1.7515818075763718
block_4,D50,974,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.334739263803684,8.61784543129565,-0.28310616749196704
block_4,D50,975,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.569960346362388,10.052333200617925,-0.4823728542555372
block_4,D50,976,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.465802987861812,8.862450012679133,-0.3966470248173213
block_4,D50,977,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,7.714131815921772,9.25405167722536,-1.5399198613035887
block_4,D50,978,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,6.420133538777606,8.285991666132288,-1.8658581273546817
block_4,D50,979,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.000334128878283,8.081810416381776,0.9185237124965067
block_4,D50,980,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.402799079754601,7.739301549986978,0.6634975297676231
block_4,D50,981,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.20133779264214,8.093305542941208,1.1080322497009316
block_4,D50,982,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.459282239300572,7.123285960747517,1.335996278553055
block_4,D50,987,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,9.328593673168331,7.700246483842934,1.6283471893253978
block_4,D50,995,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0030.tif,Sableux,2,8.867135511191773,10.33056060812127,-1.4634250969294982
block_4,D50,1173,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0045.tif,Sableux,3,6.957587517820372,8.63248510061466,-1.674897582794289
block_4,D50,1183,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0045.tif,Sableux,3,5.942433493240298,6.434652878074205,-0.49221938483390737
