block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_4,Skewness,3,GBM,0.5556541289803021,0.17372204829513244,0.10993955762095217,120.0
block_4,Skewness,3,GBM_train,0.9330236465262839,0.0766870390807207,0.03811969908681087,120.0
block_4,sigma_local,3,Ridge,0.880214530650955,2.4026206109845027,1.4170996834964473,
block_4,sigma_local,3,SVR_RBF,0.7991171919048653,3.1113904491564135,1.7237180689373002,
block_4,sigma_local,3,RF_sqrt,0.6403490251283053,4.1631662087008605,2.7422749418419494,
block_4,sigma_local,3,RF_third,0.660948753472256,4.042181421249343,2.862153390700499,
block_4,sigma_local,3,GBM,0.6853399875912773,3.8940713673590865,3.0319574595665717,113.0
block_4,sigma_local,3,GBM_train,0.9462631308016923,1.5246116561482077,0.7342079111757522,113.0
block_4,D50,4,Ridge,0.7499353783528833,0.9833606368936001,0.5620810698979355,
block_4,D50,4,SVR_RBF,0.65782957117958,1.1502915517645624,0.6742139228079171,
block_4,D50,4,RF_sqrt,0.5476496004484057,1.3225867948616115,0.928594806743182,
block_4,D50,4,RF_third,0.5706316780089822,1.2885512395021699,0.8397292239437153,
block_4,D50,4,GBM,0.600253247124211,1.2433092520841058,0.7114555712590187,72.0
block_4,D50,4,GBM_train,0.9304487592680655,0.5873048806761387,0.3317683359969612,72.0
block_4,D90,4,Ridge,0.4423739369337776,1.2010209685364837,0.853592668683401,
block_4,D90,4,SVR_RBF,0.17565915359666817,1.4602676614948584,0.9264034618686665,
block_4,D90,4,RF_sqrt,0.3173555899604298,1.3288511201407887,0.9025111321298915,
block_4,D90,4,RF_third,0.36602821022518606,1.2806015534374904,0.9567700445803844,
block_4,D90,4,GBM,0.3222648650703689,1.3240642451018785,0.7891412529738524,72.0
block_4,D90,4,GBM_train,0.768539700349961,0.7327924656179567,0.4561633487765313,72.0
block_4,Span,4,Ridge,0.6899010939672169,0.3528160973753955,0.24134534761373905,
block_4,Span,4,SVR_RBF,0.5847449475094404,0.4082777731508979,0.28307174678323443,
block_4,Span,4,RF_sqrt,0.5417750613785041,0.42888181839185907,0.28695157663304904,
block_4,Span,4,RF_third,0.5241173760823308,0.4370671825644194,0.27881832029066933,
block_4,Span,4,GBM,0.4994622629744475,0.44824627336120026,0.27082144102902106,75.0
block_4,Span,4,GBM_train,0.9380521997677829,0.1828754041527261,0.09589754554101093,75.0
block_4,Skewness,4,Ridge,0.6982068376763216,0.14878718435543228,0.0969442378200075,
block_4,Skewness,4,SVR_RBF,0.5189235163606126,0.18785289454681925,0.1391631664050681,
block_4,Skewness,4,RF_sqrt,0.4957519655703764,0.19232375705187368,0.1508906670985597,
block_4,Skewness,4,RF_third,0.5305248468149527,0.18557400195333962,0.13576724202574253,
block_4,Skewness,4,GBM,0.5410646882847977,0.18347908461324522,0.13194448548118076,64.0
block_4,Skewness,4,GBM_train,0.8866662415951931,0.09795750052783089,0.05574894787411516,64.0
block_4,sigma_local,4,Ridge,0.8467143775266167,2.6142778113319514,1.5498079106495428,
block_4,sigma_local,4,SVR_RBF,0.7022734855038517,3.643424568065287,2.1188329295377173,
block_4,sigma_local,4,RF_sqrt,0.4415346284348024,4.989983970841962,3.5002999505477277,
block_4,sigma_local,4,RF_third,0.4535895050714809,4.9358339638024775,3.1834886064192105,
block_4,sigma_local,4,GBM,0.4842439583168109,4.795381770469979,2.591523167929349,253.0
block_4,sigma_local,4,GBM_train,0.9635403967745397,1.2629302016644708,0.2209361669017582,253.0
block_6,D50,0,Ridge,0.5853647112452814,1.2916132838486574,0.6973813831632647,
block_6,D50,0,SVR_RBF,0.5661004783899775,1.321277252120267,0.7645370578037243,
block_6,D50,0,RF_sqrt,0.3467440531319812,1.621216661209007,0.8640197406454964,
block_6,D50,0,RF_third,0.4271121945694736,1.5182180879717564,0.8278675927393722,
block_6,D50,0,GBM,0.4557064955257131,1.4798440412526896,0.87378360422273,113.0
block_6,D50,0,GBM_train,0.9502319824870598,0.46553803723016035,0.22602501538749697,113.0
block_6,D90,0,Ridge,0.22357820076304014,1.0978886981758191,0.7796191945211266,
block_6,D90,0,SVR_RBF,-0.0033015971616769946,1.248030520245347,0.8529291117042632,
block_6,D90,0,RF_sqrt,0.10337087352098973,1.1798203302555907,0.8486028976793847,
block_6,D90,0,RF_third,0.13798143199013913,1.1568252638097904,0.8187277607417638,
block_6,D90,0,GBM,0.09058194365108163,1.1882046308136511,0.8503840966165441,72.0
block_6,D90,0,GBM_train,0.7863952677707859,0.7296320940999866,0.47071410454860363,72.0
block_6,Span,0,Ridge,0.6381964745648605,0.3224993512632964,0.20117495237138616,
block_6,Span,0,SVR_RBF,0.6690806778306098,0.3084277965498152,0.21909477261710952,
block_6,Span,0,RF_sqrt,0.4918595358625535,0.38219441651526437,0.24588513660789602,
block_6,Span,0,RF_third,0.5553841426509045,0.35750730655313356,0.24640641329959978,
