patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
3133,7.633987967503394,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0100.tif,7.682368228701373,7.742176165615866,-0.0598079369144937,0.0598079369144937
3170,8.729552471715092,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,5.696242331288344,6.047908256637351,-0.3516659253490068,0.3516659253490068
3171,7.259732775585019,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,5.826204638107332,5.79531383857909,0.0308907995282421,0.0308907995282421
3191,8.435996876928922,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,6.674905711206896,6.787075107162994,-0.1121693959560978,0.1121693959560978
3192,8.062478720528206,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,6.449046240629407,7.148011151599885,-0.6989649109704779,0.6989649109704779
3193,8.146931451423349,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,7.952948465631604,9.137553110647175,-1.1846046450155718,1.1846046450155718
3199,8.829399850059344,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,5.925873030498481,7.235834656269668,-1.3099616257711864,1.3099616257711864
3200,9.155328046184527,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,5.759111151504136,6.721155536136425,-0.9620443846322884,0.9620443846322884
3202,9.555047930325907,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,9.381942830583313,8.77722336660885,0.6047194639744635,0.6047194639744635
3208,8.271852571364459,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0103.tif,5.740039840637451,5.883291135713096,-0.143251295075645,0.143251295075645
3232,8.03727568950335,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.662929200850805,3.946312410818903,0.7166167900319027,0.7166167900319027
3233,7.313151775382072,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.617783343769567,3.7634932245392942,0.8542901192302725,0.8542901192302725
3234,7.174185366130533,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,3.7737476298244537,3.657951119529255,0.115796510295199,0.115796510295199
3235,8.283331175546156,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,5.658601453035805,5.594025536729324,0.0645759163064818,0.0645759163064818
3236,6.883340565207309,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.115909090909091,4.435677280362292,-0.3197681894532005,0.3197681894532005
3241,5.717180022222259,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.003257846642828,3.355111237674585,0.6481466089682435,0.6481466089682435
3242,6.699435416530872,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,3.5272169881860327,3.553920613631189,-0.0267036254451564,0.0267036254451564
3243,6.518047840246316,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.302980495288188,3.8919010912652383,0.4110794040229497,0.4110794040229497
3244,7.267376692543659,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.3418787834585375,3.611973218244541,0.729905565213997,0.729905565213997
3245,7.5187500292551155,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,6.049243892981775,5.717740425638567,0.3315034673432082,0.3315034673432082
3246,6.863351278557101,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.90708705357143,4.869686824026539,0.0374002295448905,0.0374002295448905
3250,7.582839786199854,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.942015107990212,4.287482939339748,0.6545321686504639,0.6545321686504639
3251,6.553036719807637,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,6.617491942572516,5.27481529254961,1.3426766500229066,1.3426766500229066
3252,7.362782798559326,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,3.880254852923664,4.468091941383813,-0.5878370884601489,0.5878370884601489
3253,6.838952128185603,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.54603448275862,3.675896276193689,0.8701382065649312,0.8701382065649312
3254,7.488777080903123,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.129536333361797,4.324867822160184,-0.195331488798387,0.195331488798387
3255,8.050891266152409,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.981816774992263,5.334278809273956,-0.3524620342816931,0.3524620342816931
3259,6.924967431244404,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.809139784946237,4.0601188360602,0.7490209488860371,0.7490209488860371
3260,7.229540550053268,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.652460903120981,4.634887551859816,0.0175733512611655,0.0175733512611655
3261,7.72786058633333,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.792793096474078,4.505751727153883,0.2870413693201952,0.2870413693201952
3262,7.77389291471576,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.700116686114352,5.371624137690704,-0.6715074515763515,0.6715074515763515
3263,7.823497406394379,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.643595150237215,4.52942804551073,0.1141671047264853,0.1141671047264853
3268,7.113082168589093,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,4.621374500297694,4.2572718771252,0.364102623172494,0.364102623172494
3269,7.1644690100132555,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0106.tif,6.000542005420054,6.400262644144036,-0.3997206387239815,0.3997206387239815
