block,fold,metric,model,dropout,seed,r2,rmse,medae
block_4,2,D90,MLP_p0.3,0.3,1.0,0.352791491453338,1.3609120808980515,0.7698909949561141
block_4,2,D90,MLP_p0.3,0.3,2.0,0.33225930882948995,1.3823304712946876,0.9099016625662557
block_4,2,D90,MLP_p0.5,0.5,0.0,0.39256854700053434,1.3184285482430973,0.8329515893240682
block_4,2,D90,MLP_p0.5,0.5,1.0,0.3347741540591833,1.3797249489932608,0.7399310848497009
block_4,2,D90,MLP_p0.5,0.5,2.0,0.30706628232204114,1.4081658486975126,0.9568468061976567
block_4,2,Span,MLP_p0.3,0.3,0.0,0.659588430834908,0.4052094997347718,0.29512684447988224
block_4,2,Span,MLP_p0.3,0.3,1.0,0.6437183544279829,0.4145473921592893,0.28934817079627884
block_4,2,Span,MLP_p0.3,0.3,2.0,0.6651319068822277,0.4018966139481873,0.2870032361023278
block_4,2,Span,MLP_p0.5,0.5,0.0,0.6674225810492472,0.40051966285946355,0.3129998963156626
block_4,2,Span,MLP_p0.5,0.5,1.0,0.64713508030176,0.41255485761412564,0.33837284178574123
block_4,2,Span,MLP_p0.5,0.5,2.0,0.6768887227776814,0.3947785255405763,0.2917549657872378
block_4,2,Skewness,MLP_p0.3,0.3,0.0,0.6597362030206334,0.16515401668876428,0.11414445433957343
block_4,2,Skewness,MLP_p0.3,0.3,1.0,0.648610127676119,0.16783243233726883,0.12317352067453796
block_4,2,Skewness,MLP_p0.3,0.3,2.0,0.645904557125342,0.1684773168439998,0.12367577183783718
block_4,2,Skewness,MLP_p0.5,0.5,0.0,0.6800008306173193,0.16016060258155432,0.11639309557815858
block_4,2,Skewness,MLP_p0.5,0.5,1.0,0.6438482158242305,0.1689658085009498,0.12410095912906782
block_4,2,Skewness,MLP_p0.5,0.5,2.0,0.6636280780642824,0.16420679966515392,0.12526196339641504
block_4,2,sigma_local,MLP_p0.3,0.3,0.0,0.4256816180437287,2.6180900553651836,1.7798533440251436
block_4,2,sigma_local,MLP_p0.3,0.3,1.0,0.6251707724940746,2.115070980435165,1.4515370628851425
block_4,2,sigma_local,MLP_p0.3,0.3,2.0,0.6248651592623012,2.115933055650197,1.5475183010102498
block_4,2,sigma_local,MLP_p0.5,0.5,0.0,0.5068305137083202,2.426086725493334,1.8126462679373212
block_4,2,sigma_local,MLP_p0.5,0.5,1.0,0.48175214275582057,2.4870068429715735,1.8938421665153609
block_4,2,sigma_local,MLP_p0.5,0.5,2.0,0.5940205851163709,2.201203675535522,1.6156688213349568
block_4,3,D50,Ridge,,,0.7576365796605701,1.0337553701630076,0.7196069198328598
block_4,3,D90,Ridge,,,0.26488411148101265,1.146958638131691,0.665599881870266
block_4,3,Span,Ridge,,,0.7839310321087484,0.3105062257663538,0.1701285600539013
block_4,3,Skewness,Ridge,,,0.650799260992792,0.15400397973675362,0.09259996280910265
block_4,3,sigma_local,Ridge,,,0.8802145306509661,2.4026206109843913,1.4170996834956782
block_4,3,D50,MLP_p0.3,0.3,0.0,0.7280747106943253,1.0949871984853596,0.7361742314420794
block_4,3,D50,MLP_p0.3,0.3,1.0,0.7422994230869071,1.0659625268201915,0.6598517233968946
block_4,3,D50,MLP_p0.3,0.3,2.0,0.7242860663998916,1.1025888578090128,0.7139786031782225
block_4,3,D50,MLP_p0.5,0.5,0.0,0.7267009355746329,1.0977496687535095,0.7023061912319069
